tweet_id,text,author_name,author_id,place_name,geoJson,place_id,time_created,sentiment
1.55054E+18,@god @jesus  to continue across from sherrif carryout and he fucks Kiethia Joan-Maire Hood mother licks the kids too and he fucks his sister and his brother girl friend she suppose to be kiki. His daughter is that daughter of down the street Bebe old boyfriend friend with the gun,Kiethia Hood,1.55005E+18,DC,"{'type': 'Feature', 'bbox': [-77.119401, 38.801826, -76.909396, 38.9953797], 'properties': {}}",01fbe706f872cb32,2022-07-22T17:58:25.000Z,0
1.55054E+18,"@IAGovernor Prayers don’t help.  Gun Control might, but as we’ve all agreed… George Washington wanted EVERYONE to have a gun… So, save your prayers.  Just remind your base that these deaths are what you and they wanted… cause ‘freedom’.",THEE Chad,277442066,IA,"{'type': 'Feature', 'bbox': [-93.707382, 41.4679993, -93.6545305, 41.512103], 'properties': {}}",00bd9eff10d959e9,2022-07-22T17:56:37.000Z,1
1.55054E+18,@RikIronjaw @Arithia3 Hell yeah my son is a Marine he said they line you up in it's like a gun they shoot it into your arm ouch,Peggy pothead. 💯💪🎯✌,1.34643E+18,RI,"{'type': 'Feature', 'bbox': [-71.518925, 41.629501, -71.354415, 41.76838], 'properties': {}}",d1871b0189c27a21,2022-07-22T17:55:34.000Z,-1
1.55054E+18,I just let a man in LA rob me with no gun😂,THE UNDERDOG🧙🏽‍♂️,1.32313E+18,CA,"{'type': 'Feature', 'bbox': [-117.985941, 33.853881, -117.863844, 33.924814], 'properties': {}}",2feb76248fd9c581,2022-07-22T17:54:55.000Z,-1
1.55054E+18,This is so fucking despicable. An 18 year old was playing with a **water gun** and was murdered by a corrections officer. https://t.co/tB6c5qJ5yQ,(((JustJax Says No to Christofascists))) ☮️🌻✡️,18126950,NY,"{'type': 'Feature', 'bbox': [-73.893186, 42.567706, -73.765684, 42.648649], 'properties': {}}",e5c24c84174dea4d,2022-07-22T17:54:02.000Z,-1
1.55054E+18,@RealMikeSchall @krisvire Chicago is ranked 20th in gun violence,Big Burly Father Duré,1.34233E+18,IL,"{'type': 'Feature', 'bbox': [-87.940033, 41.644102, -87.523993, 42.0230669], 'properties': {}}",1d9a5370a355ab0c,2022-07-22T17:53:00.000Z,-1
1.55054E+18,Camper Guns Down 3 at Iowa State Park Before Killing Himself https://t.co/9PdGCkHEWA via @thedailybeast,Michael McCallum,1.38682E+18,IA,"{'type': 'Feature', 'bbox': [-92.499974, 42.4644837, -92.406204, 42.567828], 'properties': {}}",8ddaffc6aef377de,2022-07-22T17:52:06.000Z,-1
1.55054E+18,@pragmatist2598 Look at that handsome son of a gun,Mike,439925363,CA,"{'type': 'Feature', 'bbox': [-120.708511, 35.595413, -120.640069, 35.666664], 'properties': {}}",0251fb9132a1b3c1,2022-07-22T17:51:50.000Z,0
1.55054E+18,"HBD to an absolute fave! Enjoy the cookie cake, Top Gun 😎, and here’s to another great year of fun debates! https://t.co/rtP4fump0s",Kevin Walling 🇺🇸🇺🇦,211207200,DC,"{'type': 'Feature', 'bbox': [-77.119401, 38.801826, -76.909396, 38.9953797], 'properties': {}}",01fbe706f872cb32,2022-07-22T17:50:40.000Z,1
1.55054E+18,@RalphRomano2 @NahBabeeNah AMEN!! GUN SAFETY 101 CARRY ONE!!❤❤??,William Ramsburg,1.5448E+18,WV,"{'type': 'Feature', 'bbox': [-80.493093, 39.023828, -80.429436, 39.056619], 'properties': {}}",096e70636a88a7fa,2022-07-22T17:48:54.000Z,1
