tweet_id,text,author_name,author_id,place_name,place_id,time_created,sentiment
1.549E+18,How's that new gun law 17 days in working for the state?? https://t.co/BU8ZYzEioM,Michael Sloan,226752551,"Indianapolis, IN",018929347840059e,2022-07-20T18:00:11.000Z,-1
1.54901E+18,"How's that theory working out ? Please, over more Guns is the solution. https://t.co/qqb60dzGf3",Shoshin = 🌊 Blue 🌊 4,1.43644E+18,"Yonkers, NY",b87b05856ab8dbd8,2022-07-20T18:00:15.000Z,1
1.54843E+18,"However, the role of Trump here is a disgrace. I prefer not to simplify the political analysis using stereotypes. But there were one posting sign in Ohio which was: TRUMP 2024, take back America, guns, oil, coal, pro-life, god. I'm not kidding.",Marian,8.92093E+17,"Burke, VA",4769ebcaeee50421,2022-07-20T18:01:25.000Z,0
1.55019E+18,Huge missed opportunity not having the R in Rubberducks be a gun https://t.co/9DOzUpQl1f https://t.co/TPpQqznpUm,football jam,1451094774,"Ohio, USA",de599025180e2ee7,2022-07-20T18:02:50.000Z,0
1.54941E+18,"Huh I believe there  were other  factors than fear of the shooters gun That kept law-enforcement members from immediately going into the school, hopefully time will tell. https://t.co/8m13CMWXV1",jerrydaniels,1074513757,"Raleigh, NC",161d2f18e3a0445a,2022-07-20T18:03:15.000Z,-1
1.55012E+18,"Huh, so overall crime is down in WA, except for violent crimes involving easy access to guns, or racially based hate crimes @washdems. Who might inciting those actions with fake news and fear? 🤔🤷‍♀️ https://t.co/QApcrp891E",Tina Podlodowski 🇺🇸🇺🇦,23679354,"Seattle, WA",300bcc6e23a88361,2022-07-20T18:03:47.000Z,-1
1.5499E+18,"Hunter Biden could be charged by the Justice Department for tax violations and lying to law enforcement about illegally purchasing a firearm, as the probe into President Joe Biden’s son comes to a head. My latest: https://t.co/LBc0PpXOqB",Wendell Husebø,3340423565,"Washington, DC",01fbe706f872cb32,2022-07-20T18:03:57.000Z,-1
1.54845E+18,"I DEPEND ON LAW AND SKILL AND EQUIPMENT. KINDA LIKE WALKING A TIGHT ROPE OVER GRAND CANYON AND NO NET.  10 SECOND LIFE SPAN. 
E TICKETS RIDE.  M-60 MACHINE GUN. LAW LIGHT ANTITANK WEAPON
3 OR 4 LEMON GRENADE AS BACKUP.

THAT'S A GOOD DANCE.  MY FAVORITE IS WALKING THE DOG. 
MR T",Robert Connolly,2458226184,"Grand Island, NE",df97a7d96847d923,2022-07-20T18:04:29.000Z,1
1.54998E+18,I GOT THE GRAVITATIONAL URANIUM NEUROBLASTERRRRRR . im still disappointed ☹️ frick u valorant AND riot (can i have the riot gun buddy?) :3 https://t.co/fbPdEi8E7y,trish,1.29332E+18,"Lauderhill, FL",0fbf6b3abebf121b,2022-07-20T18:04:36.000Z,-1
1.54948E+18,"I LOVE Forty Guns @astaIavistaa , there was a lively discussion about it here on her recent birthday. https://t.co/sISPIjUWzr https://t.co/rMgeKn4X7U",Robert J Blake,8.00498E+17,"Wisconsin, USA",7dc5c6d3bfb10ccc,2022-07-20T18:08:06.000Z,1
1.54859E+18,"I WOKE thinking, “Texas (entire GOP) LOVE their GUNS! Will NOT ban AR15/AK47s 2 make OUR Country SAFE 4 every man, woman &amp; CHILD, yet MULTIPLE Texas POLICEMEN R TERRIFIED 2 confront ONE 18yr old w an AR15. The AR15 THEY place in his hands x Voting NO on Biden/Dem Gun Safety Laws",CA Husky Lover,9.62019E+17,"Oakley, CA",010781586e4d76f9,2022-07-20T18:10:31.000Z,1
1.54958E+18,I Wanna thanks coach Horn and FBU for the rating and helping me perfect my craft at the @FBUcamp Top Gun camp 🔥 #FreshmanAllAmerican #TopGunMaverick @ErikRichardsUSA @AWilliamsUSA @Coach_KJones7 https://t.co/Dj3IhQiFS3,Amari Jones,1.35377E+18,"Dunnellon, FL",ea4eea6a7f6480d7,2022-07-20T18:11:25.000Z,1
1.54914E+18,"I agree we need stricter gun control laws, but allowing the UN (or sympathizers) to go in and kill kids for propaganda purposes is just sick.",Michael C Ellis,307723954,"Monona, WI",756059b9675acdae,2022-07-20T18:12:00.000Z,-1
1.54895E+18,I ain't giving Steve Karlen a god damn mutherfucking thing then Aim a gun at me in n the o s make my day,Ed Friend,1.47059E+18,"Nashville, TN",00ab941b685334e3,2022-07-20T18:12:36.000Z,-1
1.55039E+18,"I ain’t get my gun in here,ima have to poke you 🤧",Bklyn.🥀,477861116,"Roanoke, VA",9d63050d3d33d32f,2022-07-20T18:13:37.000Z,-1
1.54845E+18,I almost forgot. He said he refused to buy his gay nephew a vacuum cleaner for his birthday. He bought him a nerf gun instead. #dealbreaker,Tiffany Savage,35633123,"Florida, USA",4ec01c9dbc693497,2022-07-20T18:14:04.000Z,-1
1.54907E+18,I always feel uncomfortable in places where I can’t my gun,Shanteria,1.33605E+18,"Hapeville, GA",2f1e462ac0a4692a,2022-07-20T18:14:13.000Z,-1
1.5487E+18,I always want to know the WHY  things. Why do Republicans hate women disrespect children and prefer guns and blood to health and prosperity of human beings?? Why? https://t.co/uGzYjjpZmg,Sharon Dennis,1598812760,"Fountain Hills, AZ",5faafada28b440c3,2022-07-20T18:14:45.000Z,-1
1.55037E+18,"I am a historian. 
Studied 70 years of WH &amp; Congressional corruption, living through over 3/4 of it. 
The drug dealing, gun running, sex trafficking, insider trading, murder, war profiteering, &amp; on &amp; on. 

But Donald Trump was your eye opener? 
Fuck you, Jeff, in your blind ass. https://t.co/4ZMJcUhY20",Damage Control Radio,1.27198E+18,"California, USA",fbd6d2f5a4e4a15e,2022-07-20T18:15:47.000Z,-1
